src,dst,weight,edge_type
0,450,360.0734245048412,road-road
0,449,358.1980739765707,road-road
0,87,246.6517947332901,road-road
0,53,93.96171041022393,road-road
0,88,181.32418027129214,road-road
0,52,465.1960024310438,road-road
0,555,566.9746988363889,power-road
0,316,482.9216367949924,road-road
0,1,464.87299786298206,road-road
0,86,455.28845915046776,road-road
1,327,369.10929601453654,road-road
1,326,380.02867227625717,road-road
1,631,248.8522962758935,hospital-road
1,184,258.32149235165986,road-road
1,418,231.19888945912453,road-road
1,555,996.0171327484752,power-road
1,85,65.50132732403118,road-road
1,315,45.3715982960839,road-road
1,316,19.130117043541475,road-road
1,368,292.18526911573707,road-road
1,86,23.80304674840717,road-road
1,683,263.46482715631186,hospital-road
1,317,401.70784680885646,road-road
2,368,288.0355055658002,road-road
2,683,415.83503971007553,hospital-road
2,317,178.47134028393899,road-road
2,84,86.73148526195747,road-road
2,299,46.770014496814404,road-road
3,206,41.16088326019679,road-road
3,59,155.08052846195628,road-road
3,261,151.49038470416633,road-road
3,704,357.86228625231126,hospital-road
3,40,431.81367233031887,road-road
3,58,421.0702211134731,road-road
3,262,421.67363003245566,road-road
3,422,426.9701434856646,road-road
3,423,427.4512290319086,road-road
3,414,466.06747230919876,road-road
3,245,475.90311987892045,road-road
3,205,56.87469193077973,road-road
3,208,72.72932307473701,road-road
3,311,10.795461153547286,road-road
3,142,33.25718973432677,road-road
3,207,63.116677690816154,road-road
3,339,25.92060301156492,road-road
3,553,478.2038746303679,power-road
3,461,296.75208362339424,road-road
3,460,295.0187165623695,road-road
3,625,306.55951019578725,hospital-road
3,736,404.6243962136048,hospital-road
3,247,459.3142342646659,road-road
3,746,338.7698745336163,hospital-road
3,557,904.0121255695442,power-road
4,512,237.46235033406256,road-road
4,513,242.68440817598648,road-road
4,877,116.61332155773677,hospital-road
4,627,94.5213279686526,hospital-road
4,301,88.5037932554792,road-road
4,5,121.90179947392161,road-road
4,344,117.37977854018831,road-road
4,133,121.41744392614014,road-road
4,132,484.694804533697,road-road
4,759,424.41778699746243,hospital-road
4,749,479.20525708065514,hospital-road
4,144,416.35664467177287,road-road
4,406,431.25937870109976,road-road
4,758,449.5049692492602,hospital-road
5,512,350.5826943590382,road-road
5,513,352.9406865457631,road-road
5,877,167.58266271647,hospital-road
5,627,104.68369786812956,hospital-road
5,301,60.35788651676386,road-road
5,344,38.31532209304176,road-road
5,133,70.98069871766165,road-road
5,759,313.58927726671493,hospital-road
5,749,370.78436434566987,hospital-road
5,144,327.7600920060804,road-road
5,406,345.8440578149039,road-road
5,404,486.64736554405783,road-road
5,403,467.4720568332379,road-road
5,758,328.64919412831904,hospital-road
6,720,325.99517380497736,hospital-road
6,681,474.3458855701798,hospital-road
6,846,304.83932673020377,hospital-road
6,329,129.4785048692391,road-road
6,878,168.0812173994179,hospital-road
6,669,425.9157723106542,hospital-road
6,831,356.20676912783404,hospital-road
6,737,355.21940153405416,hospital-road
6,371,372.777431578141,road-road
6,293,377.5407101569637,road-road
6,14,386.0957138506786,road-road
6,386,366.0398313838604,road-road
6,153,364.79083484271854,road-road
6,152,326.44946845517467,road-road
6,369,327.46805090907736,road-road
6,372,313.78474123198134,road-road
6,370,314.7369357847834,road-road
6,136,150.60105971420222,road-road
6,296,217.16560132298238,road-road
6,387,274.7090849072259,road-road
6,154,58.82288363492054,road-road
6,155,166.6220996122226,road-road
6,330,128.71463170433717,road-road
6,102,317.59848235400136,road-road
6,170,332.7669227011901,road-road
6,350,344.11280239948275,road-road
6,349,330.45695494626,road-road
7,78,465.1118727999911,road-road
7,259,355.15772000546286,road-road
7,12,411.3210628306051,road-road
7,13,190.0016469382924,road-road
7,655,123.91638696111002,hospital-road
7,661,110.35903807312245,hospital-road
7,43,16.686141251739283,road-road
7,42,298.0840536132786,road-road
7,796,389.0005474934106,hospital-road
7,709,393.01376561888617,hospital-road
7,514,437.6691679717934,road-road
7,559,492.26516989970816,hospital-road
7,49,267.27144068742706,road-road
7,788,175.70546521784635,hospital-road
7,45,137.45479037405192,road-road
